"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"MD-90S","CUI Devices","CP-2490-ND","","","Tray","Active","1","3.95000","$3.95","797","14 Weeks","CONN RCPT FMALE MINI DIN 9P SLDR","RoHS Compliant","Lead free","Not Available"
"EBC12DCWN","Sullins Connector Solutions","S3304-ND","","","Tray","Active","1","4.58000","$4.58","296","3 Weeks","CONN EDGE DUAL FMALE 24POS 0.100","ROHS3 Compliant","Lead free","REACH Unaffected"
